,player_id,player_name,pos_abbr,draft_year
0,28325,Andrew Luck,QB,2012
1,28956,Robert Griffin III,QB,2012
2,27427,Trent Richardson,RB,2012
3,28826,Matt Kalil,OT,2012
4,28776,Justin Blackmon,WR,2012
5,27921,Morris Claiborne,CB,2012
6,27429,Mark Barron,S,2012
7,28393,Ryan Tannehill,QB,2012
8,28618,Luke Kuechly,ILB,2012
9,28295,Stephon Gilmore,CB,2012
10,28951,Dontari Poe,DT,2012
11,28964,Fletcher Cox,DT,2012
12,28158,Michael Floyd,WR,2012
13,28980,Michael Brockers,DT,2012
14,28955,Bruce Irvin,OLB,2012
15,28090,Quinton Coples,DE,2012
16,27428,Dre Kirkpatrick,CB,2012
17,28296,Melvin Ingram,DE,2012
18,29060,Shea McClellin,OLB,2012
19,28585,Kendall Wright,WR,2012
20,29006,Chandler Jones,DE,2012
21,28779,Brandon Weeden,QB,2012
22,27818,Riley Reiff,OT,2012
23,28952,David DeCastro,OG,2012
24,27430,Dont'a Hightower,ILB,2012
25,28967,Whitney Mercilus,DE,2012
26,28514,Kevin Zeitler,OG,2012
27,28988,Nick Perry,DE,2012
28,28160,Harrison Smith,S,2012
29,29003,A.J. Jenkins,WR,2012
30,28603,Doug Martin,RB,2012
31,28963,David Wilson,RB,2012
32,27462,Brian Quick,WR,2012
33,28327,Coby Fleener,TE,2012
34,29053,Courtney Upshaw,DE,2012
35,27545,Derek Wolfe,DT,2012
36,27497,Mitchell Schwartz,OT,2012
37,27557,Andre Branch,DE,2012
38,29046,Cordy Glenn,OT,2012
39,28326,Jonathan Martin,OT,2012
40,29011,Stephen Hill,WR,2012
41,27796,Jeff Allen,OG,2012
42,28294,Alshon Jeffery,WR,2012
43,28662,Mychal Kendricks,ILB,2012
44,28903,Bobby Wagner,ILB,2012
45,27792,Tavon Wilson,S,2012
46,27589,Kendall Reyes,DT,2012
47,27542,Isaiah Pead,RB,2012
48,28009,Jerel Worthy,DT,2012
49,28094,Zach Brown,OLB,2012
50,28182,Devon Still,DT,2012
51,28769,Ryan Broyles,WR,2012
52,29007,Peter Konz,C,2012
53,28759,Mike Adams,OT,2012
54,29000,Brock Osweiler,QB,2012
55,28042,Lavonte David,OLB,2012
56,27949,Vinny Curry,DE,2012
57,28970,Kelechi Osemele,OG,2012
58,28787,LaMichael James,RB,2012
59,28916,Casey Hayward,CB,2012
60,28986,Rueben Randle,WR,2012
61,28958,Dwayne Allen,TE,2012
62,28742,Trumaine Johnson,CB,2012
63,28989,Josh Robinson,CB,2012
64,29010,Ronnie Hillman,RB,2012
65,28760,DeVier Posey,WR,2012
66,28999,T.J. Graham,WR,2012
67,28945,Bryan Anger,P,2012
68,29034,Josh LeRibeus,OG,2012
69,29008,Olivier Vernon,DE,2012
70,27923,Brandon Taylor,S,2012
71,28774,Donald Stephenson,OT,2012
72,28525,Russell Wilson,QB,2012
73,28558,Demario Davis,OLB,2012
74,28721,Michael Egnew,TE,2012
75,29059,Brandon Hardin,S,2012
76,28771,Jamell Fleming,CB,2012
77,28609,Tyrone Crawford,DE,2012
78,28001,Mike Martin,DT,2012
79,28243,Mohamed Sanu,WR,2012
80,28971,Bernard Pierce,RB,2012
81,27936,Dwight Bentley,CB,2012
82,27985,Sean Spence,OLB,2012
83,27468,Nick Foles,QB,2012
84,27489,Jake Bequette,DE,2012
85,28848,Lamar Holmes,OT,2012
86,29036,T.Y. Hilton,WR,2012
87,27556,Brandon Thompson,DT,2012
88,28931,Jayron Hosley,CB,2012
89,29065,Tony Bergstrom,OG,2012
90,27999,Chris Givens,WR,2012
91,28962,Lamar Miller,RB,2012
92,27607,Gino Gradkowski,OG,2012
93,27705,Ben Jones,C,2012
94,27984,Travis Benjamin,WR,2012
95,27476,Omar Bolden,CB,2012
96,28010,Kirk Cousins,QB,2012
97,28772,Frank Alexander,DE,2012
98,28546,Joe Adams,WR,2012
99,27673,Nigel Bradham,OLB,2012
100,28990,Robert Turbin,RB,2012
101,27690,Devon Wylie,WR,2012
102,28586,Philip Blake,C,2012
103,28429,Alameda Ta'amu,DT,2012
104,27935,Ladarius Green,TE,2012
105,29061,Evan Rodriguez,TE,2012
106,29005,Bobby Massie,OT,2012
107,28994,Kyle Wilber,OLB,2012
108,27664,Jaye Howard,DT,2012
109,29030,Coty Sensabaugh,CB,2012
110,28959,Orson Charles,TE,2012
111,28416,Joe Looney,OG,2012
112,28547,Jarius Wright,WR,2012
113,28383,Keenan Robinson,OLB,2012
114,28052,James-Michael Johnson,ILB,2012
115,28673,Keshawn Martin,WR,2012
116,28513,Nick Toon,WR,2012
117,27704,Brandon Boykin,CB,2012
118,28979,Ron Brooks,CB,2012
119,28954,Ronnell Lewis,OLB,2012
120,28040,Jared Crick,DE,2012
121,27549,Adrien Robinson,TE,2012
122,29028,Rhett Ellison,FB,2012
123,28265,Miles Burris,OLB,2012
124,28797,Christian Thompson,S,2012
125,28568,Brandon Mosley,OT,2012
126,27819,Mike Daniels,DT,2012
127,27945,Jerron Mcmillian,S,2012
128,27488,Greg Childs,WR,2012
129,27435,Josh Chapman,DT,2012
130,28371,Malik Jackson,DE,2012
131,28363,Tahir Whitehead,OLB,2012
132,29044,Robert Blanton,S,2012
133,28482,Najee Goode,ILB,2012
134,28965,Adam Gettis,OG,2012
135,28056,Brandon Marshall,OLB,2012
136,27599,Josh Norman,CB,2012
137,27672,Zebrie Sanders,OT,2012
138,28284,Taylor Thompson,TE,2012
139,27436,De'quan Menzie,CB,2012
140,28407,Tank Carder,OLB,2012
141,28192,Johnnie Troutman,OG,2012
142,28794,Rokevious Watkins,OG,2012
143,28432,Senio Kelemete,OG,2012
144,28943,Danny Coale,WR,2012
145,28227,Dennis Kelly,OT,2012
146,27776,Korey Toomer,OLB,2012
147,28163,Josh Kaddu,OLB,2012
148,27820,Shaun Prater,CB,2012
149,28520,Bradie Ewing,FB,2012
150,28183,Jack Crawford,DE,2012
151,27661,Chris Rainey,RB,2012
152,28953,Ryan Miller,OG,2012
153,29020,Randy Bullock,PK,2012
154,28255,Corey White,S,2012
155,29001,Terrell Manning,OLB,2012
